Track,Count,Percentage
"安徽,马鞍山(提货)->浙江,杭州(卸货)",1648,0.061892064445863225
"广东,中山(提货)->广东,东莞(卸货)",1129,0.04240057084913809
"陕西,宝鸡(提货)->陕西,宝鸡(卸货)",973,0.03654185601081609
"安徽,六安(提货)->安徽,芜湖(卸货)",924,0.03470161865775341
"安徽,马鞍山(提货)->浙江,湖州(卸货)",810,0.03042025012205656
"浙江,宁波(提货)->江苏,苏州(卸货)",749,0.028129342396815263
"河南,郑州(提货)->河南,周口(卸货)",587,0.022045292372403952
"广东,中山(提货)->广东,惠州(卸货)",562,0.0211063957636985
"广东,佛山(提货)->江西,赣州(卸货)",526,0.019754384647162653
"浙江,宁波(提货)->上海,上海(卸货)",523,0.019641717054118
"安徽,六安(提货)->安徽,马鞍山(卸货)",517,0.019416381868028694
"安徽,六安(提货)->安徽,滁州(卸货)",420,0.015773463026251548
"山东,济南(提货)->山东,菏泽(卸货)",405,0.01521012506102828
"浙江,宁波(提货)->北京,北京(卸货)",398,0.014947234010590754
"山东,济南(提货)->河北,邯郸(卸货)",392,0.014721898824501445
"山东,济南(提货)->山东,济宁(卸货)",389,0.014609231231456792
"安徽,马鞍山(提货)->安徽,合肥(卸货)",339,0.012731438014045894
"重庆,重庆(提货)->陕西,咸阳(卸货)",299,0.011229203440117174
"安徽,芜湖(提货)->安徽,芜湖(卸货)",297,0.011154091711420738
"四川,遂宁(提货)->云南,昆明(卸货)",288,0.010816088932286777
"安徽,芜湖(提货)->江苏,南京(卸货)",264,0.009914748187929544
"黑龙江,哈尔滨(提货)->浙江,嘉兴(卸货)",258,0.009689413001840237
"山东,济南(提货)->河北,邢台(卸货)",244,0.009163630900965185
"浙江,宁波(提货)->浙江,宁波(卸货)",242,0.00908851917226875
"浙江,宁波(提货)->陕西,西安(卸货)",235,0.008825628121831224
"江西,赣州(提货)->广东,深圳(卸货)",228,0.008562737071393697
"河南,郑州(提货)->河南,许昌(卸货)",225,0.008450069478349044
"河北,邢台(提货)->河北,邢台(卸货)",216,0.008112066699215083
"安徽,芜湖(提货)->河北,唐山(卸货)",198,0.007436061140947159
"安徽,滁州(提货)->安徽,合肥(卸货)",194,0.007285837683554287
"山东,潍坊(提货)->山西,运城(卸货)",193,0.007248281819206069
"安徽,马鞍山(提货)->江苏,常州(卸货)",183,0.006872723175723889
"安徽,马鞍山(提货)->江苏,南京(卸货)",170,0.006384496939197056
"陕西,西安(提货)->陕西,汉中(卸货)",164,0.006159161753107748
"天津,天津(提货)->山西,太原(卸货)",160,0.0060089382957148755
"河北,唐山(提货)->上海,上海(卸货)",158,0.00593382656701844
"安徽,马鞍山(提货)->安徽,芜湖(卸货)",154,0.005783603109625568
"天津,天津(提货)->山西,运城(卸货)",148,0.00555826792353626
"山东,济南(提货)->山东,滨州(卸货)",147,0.005520712059188042
"陕西,宝鸡(提货)->陕西,咸阳(卸货)",146,0.005483156194839824
"福建,泉州(提货)->湖南,长沙(卸货)",146,0.005483156194839824
"安徽,芜湖(提货)->安徽,合肥(卸货)",145,0.005445600330491606
"陕西,宝鸡(提货)->甘肃,平凉(卸货)",143,0.005370488601795171
"安徽,滁州(提货)->江苏,南京(卸货)",132,0.004957374093964772
"天津,天津(提货)->山西,临汾(卸货)",130,0.0048822623652683365
"上海,上海(提货)->江苏,苏州(卸货)",124,0.004656927179179029
"福建,莆田(提货)->湖北,武汉(卸货)",124,0.004656927179179029
"山东,济南(提货)->山东,枣庄(卸货)",122,0.004581815450482593
"上海,上海(提货)->安徽,合肥(卸货)",120,0.004506703721786157
"河南,郑州(提货)->河南,漯河(卸货)",117,0.004394036128741503
"安徽,滁州(提货)->安徽,马鞍山(卸货)",114,0.004281368535696849
"四川,德阳(提货)->贵州,黔南(卸货)",111,0.004168700942652195
"安徽,芜湖(提货)->江苏,苏州(卸货)",108,0.004056033349607541
"山东,济南(提货)->山东,泰安(卸货)",106,0.003980921620911106
"福建,莆田(提货)->四川,成都(卸货)",105,0.003943365756562887
"江苏,苏州(提货)->河北,唐山(卸货)",101,0.0037931422991700154
"安徽,马鞍山(提货)->广东,东莞(卸货)",100,0.0037555864348217975
"安徽,滁州(提货)->安徽,芜湖(卸货)",98,0.0036804747061253613
"重庆,重庆(提货)->四川,成都(卸货)",98,0.0036804747061253613
"广东,珠海(提货)->广东,清远(卸货)",97,0.0036429188417771434
"浙江,宁波(提货)->江苏,南通(卸货)",95,0.0035678071130807077
"广东,清远(提货)->广东,珠海(卸货)",94,0.0035302512487324898
"安徽,马鞍山(提货)->浙江,嘉兴(卸货)",93,0.0034926953843842715
"天津,天津(提货)->山西,吕梁(卸货)",92,0.0034551395200360536
"江西,赣州(提货)->广东,清远(卸货)",89,0.0033424719269913995
"安徽,芜湖(提货)->江苏,镇江(卸货)",88,0.0033049160626431816
"安徽,滁州(提货)->安徽,滁州(卸货)",85,0.003192248469598528
"广东,东莞(提货)->陕西,西安(卸货)",85,0.003192248469598528
"安徽,合肥(提货)->安徽,合肥(卸货)",85,0.003192248469598528
"安徽,合肥(提货)->安徽,滁州(卸货)",82,0.003079580876553874
"广东,中山(提货)->广东,梅州(卸货)",82,0.003079580876553874
"山东,济南(提货)->山东,东营(卸货)",79,0.00296691328350922
"安徽,马鞍山(提货)->江苏,镇江(卸货)",78,0.002929357419161002
"江西,赣州(提货)->广东,东莞(卸货)",76,0.002854245690464566
"陕西,宝鸡(提货)->湖南,岳阳(卸货)",76,0.002854245690464566
"安徽,芜湖(提货)->上海,上海(卸货)",75,0.002816689826116348
"山东,济南(提货)->山东,淄博(卸货)",71,0.0026664663687234764
"福建,泉州(提货)->安徽,芜湖(卸货)",70,0.002628910504375258
"安徽,马鞍山(提货)->湖北,武汉(卸货)",69,0.00259135464002704
"四川,成都(提货)->重庆,重庆(卸货)",69,0.00259135464002704
"安徽,马鞍山(提货)->北京,北京(卸货)",69,0.00259135464002704
"安徽,合肥(提货)->上海,上海(卸货)",68,0.0025537987756788223
"上海,上海(提货)->安徽,芜湖(卸货)",68,0.0025537987756788223
"天津,天津(提货)->内蒙古,包头(卸货)",67,0.0025162429113306044
"广东,中山(提货)->广东,河源(卸货)",67,0.0025162429113306044
"四川,德阳(提货)->云南,昆明(卸货)",67,0.0025162429113306044
"广东,广州(提货)->广东,珠海(卸货)",65,0.0024411311826341682
"黑龙江,哈尔滨(提货)->安徽,滁州(卸货)",64,0.0024035753182859504
"陕西,宝鸡(提货)->安徽,蚌埠(卸货)",59,0.0022157959965448605
"上海,上海(提货)->河南,郑州(卸货)",56,0.0021031284035002065
"黑龙江,哈尔滨(提货)->四川,成都(卸货)",56,0.0021031284035002065
"黑龙江,哈尔滨(提货)->上海,上海(卸货)",56,0.0021031284035002065
"四川,成都(提货)->云南,昆明(卸货)",54,0.0020280166748037707
"安徽,滁州(提货)->安徽,六安(卸货)",54,0.0020280166748037707
"宁夏,银川(提货)->陕西,西安(卸货)",54,0.0020280166748037707
"天津,天津(提货)->山西,忻州(卸货)",54,0.0020280166748037707
"天津,天津(提货)->陕西,西安(卸货)",53,0.001990460810455553
