,city,GPS,boundingbox
0,"北京,北京市","(40.190632, 116.412144)","[39.4416113, 41.0595584, 115.4172086, 117.5079852]"
1,"上海,上海市","(31.2322758, 121.4692071)","[30.6614383, 31.8834669, 120.8508584, 123.3342088]"
2,"天津,天津市","(39.3032619, 117.4163641)","[38.5549527, 40.2520111, 116.7022008, 118.0600003]"
3,"重庆,重庆市","(29.5647398, 106.5478767)","[28.161132, 32.207613, 105.306674, 110.204955]"
4,"内蒙古,呼和浩特市","(40.8337963, 111.6730788)","[39.5862333, 41.3811109, 110.5110773, 112.3047642]"
5,"内蒙古,包头市","(40.6549157, 109.8344586)","[40.2459995, 42.7359924, 109.2624433, 111.4363328]"
6,"内蒙古,乌海市","(39.4857837, 106.900469)","[39.035476, 39.9152613, 106.6044733, 107.1338203]"
7,"内蒙古,赤峰市","(43.2564906, 118.9759212)","[41.2802811, 45.2041284, 116.4259718, 120.9751968]"
8,"内蒙古,通辽市","(43.6428995, 122.2558324)","[42.2402705, 45.681457, 119.2352068, 123.7151825]"
9,"内蒙古,鄂尔多斯市","(39.6081457, 109.7763659)","[39.4481457, 39.7681457, 109.6163659, 109.9363659]"
10,"内蒙古,呼伦贝尔市","(49.2187995, 119.7431228)","[49.0587995, 49.3787995, 119.5831228, 119.9031228]"
11,"内蒙古,巴彦淖尔市","(41.569576, 107.494851)","[40.1714306, 42.46064, 105.2129668, 109.8977438]"
12,"内蒙古,乌兰察布市","(40.9902685, 113.1315646)","[40.1623043, 43.3793335, 110.3339767, 114.8015513]"
13,"内蒙古,兴安盟","(46.2425485, 121.4088758)","[44.2559854, 47.6559895, 119.4743753, 123.6256693]"
14,"内蒙古,锡林郭勒盟","(44.0319538, 115.8498401)","[41.5694092, 46.775786, 111.1527023, 119.8988188]"
15,"内蒙古,阿拉善盟","(40.480869, 102.84579)","[37.4067101, 42.7944874, 97.1717119, 106.8605878]"
16,"内蒙古,丰镇市","(40.5572474, 113.3107839)","[40.312107, 40.801384, 112.7966003, 113.7885055]"
17,"内蒙古,锡林浩特市","(43.98463615, 116.06738336490967)","[43.0306509, 44.9371299, 115.3151018, 117.0966493]"
18,"内蒙古,二连浩特市","(43.36407785, 111.97186599499605)","[42.9618786, 43.7633744, 111.3448868, 112.4367811]"
19,"内蒙古,满州里市","(49.4999053, 117.6035135)","[49.3220526, 49.6308469, 117.2106948, 117.8932919]"
20,"内蒙古,牙克石市","(49.321229, 121.278069)","[47.6607939, 50.8715354, 120.4583505, 122.492135]"
21,"内蒙古,扎兰屯市","(47.746019, 121.9705318)","[47.0944242, 48.6075355, 120.4823772, 123.2906766]"
22,"内蒙古,霍林郭勒市","(45.54076645, 119.5786103818397)","[45.3957174, 45.681457, 119.3081397, 119.8652203]"
